city,latitude,longitude, Climate Type
France,46.603354,1.8883335, Cfb
Croatia,45.3658443,15.6575209, Csa
Greece,38.9953683,21.9877132, Csa
Italy,42.6384261,12.674297, Csa
Netherlands,52.2434979,5.6343227, Cfb
Spain,39.3260685,-4.8379791, Csa
Florida,27.7567667,-81.4639835, Af/Am
Illinois,40.0796606,-89.4337288, Dfa
Mexico,23.6585116,-102.0077097, BWh/BSh
Portugal,39.6621648,-8.1353519, Csa
United Kingdom,54.7023545,-3.2765753, Cfb
Connecticut,41.6500201,-72.7342163, Dfa
Malta,35.8885993,14.4476911, Csa
Maryland,39.5162401,-76.9382069, Cfa
California,36.7014631,-118.755997, Csa
Texas,31.2638905,-98.5456116, Cfa/BSh
North Carolina,35.6729639,-79.0392919, Cfa/Cwa
Grenada,12.1360374,-61.6904045, Af
Rhode Island,41.7962409,-71.5992372, Dfa
Washington,38.8950368,-77.0365427, Cfb
Netherlands Antilles,12.1845,-68.66079226, Am
Turkey,38.9597594,34.9249653, Csa/Dfa
Germany,51.1638175,10.4478313, Cfb
Estonia,58.7523778,25.3319078, Dfb
Ireland,52.865196,-7.9794599, Cfb
New York,40.7127281,-74.0060152, Dfa
Michigan,43.6211955,-84.6824346, Dfb
Maine,45.709097,-68.8590201, Dfb
Virginia,37.1232245,-78.4927721, Cfa/Cwa
Martinique,14.6367927,-61.01582685, Af
Denmark,55.670249,10.3333283, Cfb
Cyprus,34.9823018,33.1451285, Csa
Panama,8.559559,-81.1308434, Af/Am
Antigua and Barbuda,17.2234721,-61.9554608, Af
Slovenia,46.1199444,14.8153333, Cfb
Bahamas,24.7736546,-78.0000547, Aw
Hawaii,19.5938015,-155.4283701, Am
Alabama,33.2588817,-86.8295337, Cfa/Cwa
Georgia,32.3293809,-83.1137366, Cfa/Cwa
South Carolina,33.6874388,-80.4363743, Cfa/Cwa
Trinidad and Tobago,10.7466905,-61.0840075, Af
Oregon,43.9792797,-120.737257, Cfb
Romania,45.9852129,24.6859225, Cfb/Dfb
Massachusetts,42.3788774,-72.032366, Dfa
Sweden,59.6749712,14.5208584, Cfb
Cork,51.897077,-8.4654674, Cfb
New Jersey,40.0757384,-74.4041622, Dfa
Wisconsin,44.4308975,-89.6884637, Dfb
Ohio,40.2253569,-82.6881395, Dfa
Gibraltar,36.1285933,-5.3474761, Csa
Belgium,50.6402809,4.6667145, Cfb
Bulgaria,42.6073975,25.4856617, Cfb
Saint Lucia,13.8250489,-60.975036, Am
West Indies,50.83635905,0.46178908, Aw
Dominican Republic,19.0974031,-70.3028026, Am
Guadeloupe,16.2528827,-61.5686855, Am
Louisiana,30.8703881,-92.007126, Cfa
Mississippi,32.9715285,-89.7348497, Cfa
Monaco,43.7323492,7.4276832, Csa
Puerto Rico,18.2247706,-66.4858295, Am
British Virgin Islands,18.4024395,-64.5661642, Am
Sint Maarten (Dutch part),18.0155138,-63.04510233, Am
Aruba,12.51756625,-69.98186415, Aw
Switzerland,46.7985624,8.2319736, Dfc
U.S. Virgin Islands,17.789187,-64.7080574, Am
Saint Vincent and the Grenadines,12.90447,-61.2765569, Am
Guatemala,15.5855545,-90.345759, Am
Norway,61.1529386,8.7876653, Cfb/Dfb
Jersey,49.2214561,-2.1358386, Cfb
Saint Kitts and Nevis,17.250512,-62.6725973, Am
Hungary,47.1817585,19.5060937, Cfb
Belize,16.8259793,-88.7600927, Am
Honduras,15.2572432,-86.0755145, Am
Cayman Islands,19.70318225,-79.91746272, Aw
Saint-Martin,18.0814066,-63.0467131, Am
Lagos,6.4550575,3.3941795, Am
Barbados,13.1500331,-59.5250305, Am
